dim_age,dim_gender,dim_product_category,dim_season,dim_location,dim_item_purchased,meas_store_visits_per_month,meas_total_spending,dim_online_shopping,meas_membership_duration,meas_discount_usage,dim_preferred_payment_method,meas_days_since_last_purchase,meas_loyalty_points,meas_average_basket_size,meas_annual_income,meas_purchase_frequency,dim_preferred_product_category,meas_satisfaction_score,meas_cross_channel_shopping,dim_order_date
66.0,Male,Clothing,Summer,Rhode Island,Pants,20.0,9456.0,Yes,4.0,2.0,Credit Card,26.0,51.0,2.0,112118.0,6.0,Footwear,3.27,False,31-07-2023
21.0,Male,Clothing,Winter,Louisiana,Pants,10.0,1112.0,Yes,22.0,3.0,Mobile Wallet,5.0,28.0,6.0,32232.0,1.0,Accessories,3.19,False,10-06-2022
31.0,Male,Clothing,Winter,North Carolina,Pants,5.0,2690.0,No,21.0,5.0,Mobile Wallet,2.0,83.0,2.0,72933.0,9.0,Accessories,4.11,False,25-10-2023
56.0,Male,Clothing,Summer,California,Pants,14.0,7369.0,Yes,19.0,1.0,Mobile Wallet,16.0,42.0,4.0,115277.0,7.0,Clothing,1.28,False,19-04-2022
31.0,Male,Clothing,Winter,Oklahoma,Pants,2.0,9704.0,Yes,9.0,1.0,Cash,29.0,26.0,6.0,67385.0,7.0,Accessories,4.9,True,14-05-2022
18.0,Male,Outerwear,Fall,Florida,Jacket,9.0,4204.0,No,5.0,6.0,Cash,21.0,96.0,10.0,37703.0,2.0,Accessories,4.89,True,10-11-2023
18.0,Male,Clothing,Summer,Texas,Hoodie,4.0,6904.0,No,11.0,8.0,Cash,21.0,93.0,8.0,94493.0,9.0,Outerwear,3.42,True,24-04-2023
38.0,Male,Accessories,Spring,Nevada,Jewelry,1.0,6326.0,Yes,23.0,3.0,Cash,2.0,34.0,4.0,47768.0,8.0,Outerwear,1.45,False,01-04-2023
56.0,Male,Clothing,Summer,Kentucky,Shorts,13.0,5396.0,Yes,18.0,5.0,Cash,18.0,97.0,6.0,118752.0,8.0,Outerwear,1.01,True,29-01-2023
54.0,Male,Accessories,Fall,North Carolina,Handbag,7.0,455.0,Yes,13.0,6.0,Mobile Wallet,9.0,94.0,3.0,95609.0,9.0,Clothing,1.65,False,06-10-2022
31.0,Male,Clothing,Fall,Wyoming,Dress,18.0,2686.0,No,23.0,10.0,Cash,24.0,99.0,10.0,110695.0,5.0,Outerwear,3.38,True,12-05-2023
57.0,Male,Accessories,Winter,North Carolina,Jewelry,13.0,1099.0,No,2.0,2.0,Cash,17.0,43.0,9.0,61912.0,2.0,Footwear,2.97,True,16-03-2022
33.0,Male,Clothing,Winter,West Virginia,Dress,20.0,5592.0,No,19.0,8.0,Mobile Wallet,26.0,51.0,6.0,101669.0,9.0,Footwear,4.69,True,31-05-2022
36.0,Male,Outerwear,Summer,Kansas,Jacket,7.0,8374.0,Yes,21.0,4.0,Mobile Wallet,13.0,57.0,9.0,109074.0,1.0,Clothing,4.26,False,14-12-2022
54.0,Male,Clothing,Summer,Colorado,Pants,9.0,2451.0,Yes,7.0,10.0,Debit Card,22.0,9.0,4.0,110311.0,4.0,Clothing,1.4,True,13-08-2022
36.0,Male,Clothing,Spring,North Dakota,T-shirt,8.0,1001.0,No,23.0,10.0,Mobile Wallet,6.0,93.0,2.0,78617.0,6.0,Accessories,2.71,False,07-07-2023
54.0,Male,Clothing,Summer,Massachusetts,Blouse,1.0,1372.0,Yes,17.0,9.0,Mobile Wallet,22.0,84.0,4.0,83602.0,9.0,Clothing,1.67,False,14-11-2022
35.0,Male,Clothing,Winter,Illinois,T-shirt,11.0,266.0,Yes,6.0,8.0,Debit Card,1.0,21.0,4.0,45967.0,7.0,Accessories,3.06,False,11-08-2022
35.0,Male,Clothing,Summer,Indiana,Jeans,3.0,122.0,Yes,18.0,5.0,Cash,12.0,100.0,1.0,55139.0,4.0,Accessories,1.02,True,12-04-2023
29.0,Male,Clothing,Winter,Florida,Dress,13.0,1382.0,Yes,20.0,2.0,Credit Card,15.0,70.0,7.0,83629.0,5.0,Footwear,3.33,False,10-11-2023
70.0,Male,Clothing,Summer,Arizona,Pants,6.0,3257.0,Yes,10.0,10.0,Debit Card,23.0,74.0,5.0,64973.0,7.0,Accessories,4.58,True,23-07-2022
69.0,Male,Accessories,Winter,Louisiana,Handbag,17.0,7852.0,Yes,16.0,3.0,Credit Card,2.0,87.0,4.0,52747.0,7.0,Clothing,3.84,False,01-04-2022
67.0,Male,Accessories,Spring,Alaska,Scarf,16.0,9550.0,Yes,2.0,3.0,Credit Card,23.0,17.0,4.0,39499.0,9.0,Outerwear,1.74,False,12-07-2022
20.0,Male,Outerwear,Spring,Tennessee,Coat,20.0,3065.0,No,16.0,10.0,Mobile Wallet,23.0,21.0,2.0,35038.0,2.0,Clothing,4.07,False,19-10-2023
25.0,Male,Accessories,Fall,Ohio,Scarf,14.0,7265.0,Yes,2.0,6.0,Credit Card,5.0,84.0,7.0,109630.0,1.0,Footwear,3.57,False,01-03-2023
39.0,Male,Accessories,Summer,Kentucky,Hat,9.0,914.0,No,20.0,5.0,Credit Card,16.0,77.0,2.0,30406.0,4.0,Clothing,2.87,True,10-04-2022
50.0,Male,Clothing,Fall,Tennessee,Socks,4.0,1926.0,No,24.0,7.0,Mobile Wallet,21.0,45.0,2.0,113765.0,7.0,Accessories,2.9,False,03-01-2022
57.0,Male,Clothing,Summer,California,Shirt,9.0,5205.0,Yes,5.0,8.0,Cash,15.0,77.0,3.0,54507.0,8.0,Footwear,3.18,False,20-02-2022
55.0,Male,Accessories,Winter,Montana,Jewelry,15.0,1397.0,Yes,18.0,10.0,Debit Card,13.0,98.0,2.0,107760.0,4.0,Footwear,2.59,True,12-12-2023
42.0,Male,Clothing,Summer,Nevada,Shirt,12.0,1927.0,No,2.0,1.0,Debit Card,13.0,40.0,7.0,63180.0,2.0,Accessories,2.57,False,26-04-2023
68.0,Male,Clothing,Spring,New Jersey,Hoodie,18.0,7958.0,Yes,17.0,7.0,Credit Card,12.0,42.0,1.0,78758.0,8.0,Clothing,2.77,False,29-04-2022
49.0,Male,Clothing,Spring,Maryland,Blouse,1.0,3207.0,Yes,24.0,5.0,Debit Card,10.0,87.0,9.0,34996.0,10.0,Footwear,4.1,False,15-06-2023
59.0,Male,Clothing,Winter,Vermont,Skirt,13.0,3797.0,Yes,13.0,6.0,Credit Card,30.0,89.0,2.0,57580.0,3.0,Clothing,1.72,False,09-10-2023
42.0,Male,Clothing,Summer,Alaska,T-shirt,19.0,4299.0,No,13.0,2.0,Cash,17.0,68.0,4.0,71694.0,9.0,Footwear,3.41,False,29-08-2023
29.0,Male,Clothing,Winter,Mississippi,Skirt,9.0,2610.0,No,10.0,4.0,Mobile Wallet,4.0,15.0,7.0,79990.0,8.0,Clothing,3.13,True,16-09-2023
47.0,Male,Outerwear,Summer,New Mexico,Coat,6.0,6495.0,No,18.0,6.0,Credit Card,23.0,33.0,1.0,110400.0,7.0,Clothing,3.11,True,26-12-2022
40.0,Male,Outerwear,Winter,South Carolina,Jacket,19.0,3282.0,No,3.0,4.0,Debit Card,1.0,88.0,10.0,83142.0,8.0,Accessories,3.51,False,31-10-2022
41.0,Male,Accessories,Summer,Mississippi,Backpack,10.0,4312.0,No,18.0,6.0,Mobile Wallet,25.0,2.0,3.0,86666.0,8.0,Outerwear,3.54,True,08-05-2022
21.0,Male,Outerwear,Summer,West Virginia,Coat,5.0,5193.0,Yes,11.0,4.0,Credit Card,11.0,66.0,3.0,61050.0,8.0,Accessories,1.58,False,18-03-2022
69.0,Male,Clothing,Summer,Missouri,Hoodie,6.0,6671.0,Yes,7.0,5.0,Credit Card,30.0,65.0,4.0,58772.0,6.0,Footwear,3.51,False,26-07-2022
63.0,Male,Accessories,Spring,Louisiana,Belt,17.0,8417.0,Yes,5.0,7.0,Mobile Wallet,18.0,82.0,2.0,56109.0,7.0,Clothing,4.77,True,04-09-2022
50.0,Male,Clothing,Summer,Idaho,Sweater,12.0,5584.0,Yes,19.0,9.0,Credit Card,8.0,29.0,9.0,77199.0,3.0,Outerwear,3.7,True,30-05-2023
55.0,Male,Accessories,Winter,Texas,Scarf,8.0,8915.0,No,13.0,6.0,Debit Card,3.0,78.0,4.0,76572.0,3.0,Clothing,4.59,False,25-08-2022
30.0,Male,Footwear,Spring,Mississippi,Sneakers,7.0,4012.0,No,13.0,8.0,Cash,26.0,47.0,6.0,34522.0,9.0,Accessories,1.49,True,24-01-2023
33.0,Male,Accessories,Winter,Arizona,Sunglasses,1.0,7005.0,No,16.0,5.0,Mobile Wallet,26.0,43.0,3.0,34247.0,8.0,Accessories,4.12,True,15-02-2022
65.0,Male,Footwear,Fall,Alabama,Boots,11.0,3707.0,Yes,22.0,2.0,Credit Card,18.0,41.0,8.0,73281.0,7.0,Accessories,2.92,True,30-10-2023
65.0,Male,Accessories,Spring,New Jersey,Backpack,3.0,6646.0,Yes,4.0,9.0,Mobile Wallet,18.0,20.0,4.0,115001.0,6.0,Outerwear,1.22,True,10-04-2023
31.0,Male,Clothing,Winter,Pennsylvania,Blouse,17.0,4161.0,Yes,23.0,9.0,Cash,7.0,96.0,2.0,82577.0,4.0,Clothing,4.78,True,25-02-2023
45.0,Male,Outerwear,Winter,Connecticut,Coat,12.0,1022.0,Yes,3.0,6.0,Cash,4.0,86.0,4.0,46178.0,7.0,Outerwear,2.91,False,19-06-2023
57.0,Male,Accessories,Summer,Utah,Handbag,16.0,6858.0,Yes,24.0,6.0,Cash,6.0,75.0,2.0,119019.0,5.0,Footwear,3.72,False,13-04-2022
48.0,Male,Accessories,Summer,Tennessee,Belt,20.0,6436.0,No,21.0,10.0,Mobile Wallet,5.0,90.0,5.0,55871.0,5.0,Clothing,3.71,False,27-04-2023
22.0,Male,Accessories,Fall,Alabama,Belt,12.0,3648.0,Yes,12.0,3.0,Credit Card,3.0,34.0,2.0,75532.0,10.0,Clothing,3.66,False,09-09-2023
36.0,Male,Clothing,Summer,Virginia,Dress,7.0,6975.0,Yes,21.0,5.0,Mobile Wallet,15.0,16.0,5.0,113520.0,7.0,Accessories,1.45,False,02-11-2022
18.0,Male,Clothing,Winter,Georgia,Dress,1.0,1346.0,No,3.0,4.0,Debit Card,14.0,27.0,3.0,69783.0,1.0,Clothing,3.48,False,20-12-2023
48.0,Male,Clothing,Spring,Hawaii,Pants,9.0,9972.0,Yes,3.0,10.0,Credit Card,17.0,1.0,3.0,113453.0,10.0,Clothing,3.84,False,08-10-2023
49.0,Male,Accessories,Spring,Indiana,Gloves,7.0,7658.0,Yes,16.0,4.0,Credit Card,28.0,23.0,10.0,98283.0,8.0,Outerwear,1.87,True,07-04-2023
64.0,Male,Accessories,Summer,Utah,Scarf,17.0,8424.0,Yes,5.0,1.0,Mobile Wallet,30.0,70.0,5.0,79955.0,2.0,Clothing,4.85,True,30-05-2022
50.0,Male,Accessories,Summer,Delaware,Hat,1.0,8617.0,Yes,4.0,2.0,Credit Card,20.0,17.0,7.0,94532.0,3.0,Accessories,2.01,True,31-03-2023
22.0,Male,Clothing,Summer,Delaware,Dress,9.0,7857.0,Yes,13.0,10.0,Mobile Wallet,3.0,46.0,9.0,116145.0,10.0,Outerwear,2.87,False,22-08-2023
50.0,Male,Clothing,Spring,Nebraska,Skirt,11.0,2044.0,Yes,20.0,2.0,Debit Card,23.0,67.0,3.0,89834.0,5.0,Accessories,1.21,True,09-07-2022
38.0,Male,Outerwear,Winter,Iowa,Jacket,13.0,7239.0,No,9.0,2.0,Debit Card,30.0,61.0,2.0,93961.0,9.0,Outerwear,1.47,True,22-08-2022
19.0,Male,Footwear,Summer,New York,Sandals,19.0,9120.0,Yes,7.0,7.0,Credit Card,20.0,70.0,4.0,61744.0,8.0,Footwear,4.13,False,24-06-2023
67.0,Male,Footwear,Summer,Virginia,Shoes,5.0,146.0,No,21.0,10.0,Credit Card,14.0,21.0,8.0,112890.0,8.0,Footwear,3.33,False,24-11-2022
19.0,Male,Clothing,Spring,Georgia,Pants,3.0,3188.0,No,3.0,3.0,Credit Card,24.0,88.0,9.0,97121.0,9.0,Footwear,4.42,False,29-01-2022
36.0,Male,Clothing,Summer,Texas,Dress,4.0,5395.0,No,4.0,8.0,Mobile Wallet,7.0,9.0,10.0,96689.0,6.0,Accessories,1.52,True,02-09-2023
52.0,Male,Outerwear,Spring,Arizona,Coat,5.0,8575.0,Yes,3.0,8.0,Debit Card,1.0,25.0,8.0,88151.0,6.0,Accessories,4.15,True,14-05-2023
53.0,Male,Accessories,Winter,New Mexico,Sunglasses,11.0,7129.0,Yes,2.0,8.0,Credit Card,22.0,38.0,3.0,103989.0,5.0,Clothing,3.03,True,08-08-2023
24.0,Male,Clothing,Spring,Nevada,Hoodie,4.0,8739.0,No,2.0,4.0,Cash,11.0,46.0,2.0,58862.0,7.0,Footwear,4.4,True,07-07-2023
52.0,Male,Footwear,Fall,Ohio,Shoes,2.0,7893.0,Yes,20.0,3.0,Credit Card,2.0,36.0,7.0,107273.0,1.0,Clothing,4.05,True,21-02-2022
33.0,Male,Clothing,Fall,Wyoming,T-shirt,17.0,1583.0,Yes,14.0,2.0,Debit Card,3.0,43.0,8.0,56605.0,5.0,Clothing,4.51,False,12-02-2022
47.0,Male,Outerwear,Fall,California,Jacket,13.0,2604.0,No,22.0,10.0,Mobile Wallet,4.0,22.0,8.0,32448.0,2.0,Footwear,3.76,False,18-09-2022
25.0,Male,Accessories,Summer,South Carolina,Hat,3.0,9706.0,Yes,14.0,2.0,Credit Card,15.0,22.0,9.0,64592.0,3.0,Outerwear,3.23,True,26-10-2023
44.0,Male,Accessories,Winter,South Carolina,Scarf,13.0,6879.0,Yes,14.0,4.0,Mobile Wallet,29.0,89.0,6.0,105503.0,1.0,Clothing,3.54,True,01-02-2023
61.0,Male,Outerwear,Winter,Texas,Jacket,1.0,7159.0,Yes,20.0,4.0,Credit Card,8.0,59.0,8.0,108497.0,5.0,Footwear,2.14,False,31-01-2022
37.0,Male,Clothing,Fall,Florida,Sweater,6.0,7495.0,No,17.0,5.0,Debit Card,6.0,66.0,2.0,49415.0,1.0,Footwear,4.09,False,24-07-2022
58.0,Male,Clothing,Spring,Nevada,Skirt,4.0,7361.0,No,7.0,9.0,Credit Card,11.0,8.0,9.0,93726.0,1.0,Accessories,4.03,True,08-08-2022
37.0,Male,Footwear,Fall,Missouri,Sneakers,14.0,9083.0,Yes,13.0,2.0,Debit Card,28.0,51.0,1.0,41807.0,8.0,Outerwear,1.76,True,01-12-2023
32.0,Male,Accessories,Spring,Delaware,Gloves,19.0,1165.0,Yes,3.0,4.0,Mobile Wallet,10.0,75.0,3.0,110667.0,6.0,Outerwear,3.32,True,11-07-2023
21.0,Male,Footwear,Winter,Virginia,Shoes,15.0,1778.0,Yes,14.0,9.0,Mobile Wallet,21.0,14.0,5.0,103100.0,4.0,Clothing,1.25,False,06-09-2022
20.0,Male,Clothing,Spring,New York,Jeans,14.0,4638.0,Yes,5.0,5.0,Credit Card,15.0,80.0,8.0,45994.0,1.0,Clothing,2.13,False,08-01-2023
26.0,Male,Clothing,Summer,Missouri,Hoodie,12.0,4438.0,No,6.0,8.0,Mobile Wallet,10.0,2.0,2.0,92315.0,9.0,Footwear,4.61,True,18-06-2023
62.0,Male,Accessories,Fall,South Dakota,Sunglasses,16.0,1690.0,No,20.0,10.0,Debit Card,20.0,18.0,8.0,54938.0,1.0,Clothing,4.88,False,28-07-2022
27.0,Male,Outerwear,Spring,North Dakota,Coat,4.0,703.0,Yes,19.0,10.0,Debit Card,9.0,77.0,8.0,67093.0,9.0,Accessories,3.72,True,13-01-2022
51.0,Male,Clothing,Winter,Oklahoma,Socks,11.0,9159.0,Yes,15.0,8.0,Credit Card,26.0,87.0,4.0,52080.0,7.0,Accessories,2.82,False,11-05-2022
54.0,Male,Footwear,Winter,West Virginia,Boots,7.0,4703.0,No,8.0,6.0,Credit Card,16.0,10.0,8.0,91235.0,2.0,Accessories,4.65,True,01-05-2023
55.0,Male,Accessories,Spring,New Hampshire,Sunglasses,11.0,8869.0,Yes,8.0,9.0,Debit Card,9.0,43.0,2.0,101293.0,1.0,Accessories,4.08,True,26-11-2023
69.0,Male,Accessories,Fall,New York,Backpack,18.0,9934.0,Yes,13.0,4.0,Cash,24.0,28.0,9.0,96932.0,5.0,Clothing,3.94,False,09-05-2023
64.0,Male,Outerwear,Summer,Minnesota,Jacket,8.0,9850.0,Yes,18.0,4.0,Cash,24.0,7.0,7.0,61461.0,8.0,Accessories,3.85,False,12-12-2023
28.0,Male,Footwear,Winter,Maryland,Sneakers,19.0,3735.0,No,13.0,8.0,Debit Card,29.0,9.0,6.0,76453.0,1.0,Footwear,3.93,True,27-05-2022
70.0,Male,Clothing,Spring,Montana,Socks,6.0,2799.0,Yes,8.0,8.0,Cash,29.0,9.0,1.0,40781.0,8.0,Footwear,4.47,True,19-09-2023
58.0,Male,Clothing,Spring,Alabama,T-shirt,7.0,1125.0,Yes,4.0,8.0,Debit Card,10.0,55.0,5.0,106107.0,3.0,Outerwear,1.21,True,30-09-2023
56.0,Male,Accessories,Summer,New York,Backpack,18.0,6314.0,No,16.0,7.0,Cash,28.0,39.0,6.0,114338.0,6.0,Footwear,2.5,True,19-02-2023
26.0,Male,Accessories,Summer,Massachusetts,Belt,10.0,1736.0,Yes,15.0,10.0,Credit Card,18.0,23.0,9.0,60878.0,5.0,Accessories,2.8,True,11-02-2022
37.0,Male,Accessories,Spring,Florida,Gloves,2.0,7101.0,Yes,17.0,9.0,Mobile Wallet,26.0,53.0,8.0,61474.0,8.0,Accessories,1.04,False,08-10-2022
44.0,Male,Accessories,Winter,New Jersey,Hat,1.0,1846.0,Yes,15.0,7.0,Cash,3.0,62.0,10.0,106223.0,1.0,Clothing,1.22,True,25-07-2023
70.0,Male,Outerwear,Summer,Massachusetts,Coat,16.0,8431.0,No,12.0,1.0,Cash,19.0,39.0,3.0,108766.0,5.0,Clothing,3.65,True,11-11-2023
53.0,Male,Clothing,Spring,Wyoming,Skirt,17.0,3781.0,Yes,10.0,6.0,Mobile Wallet,26.0,8.0,9.0,78364.0,5.0,Footwear,1.21,True,19-07-2023
55.0,Male,Footwear,Spring,Virginia,Shoes,6.0,249.0,No,3.0,9.0,Mobile Wallet,24.0,19.0,6.0,50031.0,7.0,Outerwear,1.61,False,15-01-2022
50.0,Male,Footwear,Summer,South Dakota,Sandals,6.0,9618.0,No,21.0,4.0,Debit Card,16.0,18.0,6.0,111005.0,8.0,Accessories,3.42,True,01-06-2023
50.0,Male,Clothing,Fall,Kentucky,Sweater,11.0,3583.0,Yes,4.0,1.0,Debit Card,13.0,70.0,6.0,92259.0,3.0,Outerwear,1.68,False,21-07-2022
38.0,Male,Outerwear,Fall,Wyoming,Coat,10.0,2263.0,No,3.0,10.0,Mobile Wallet,1.0,7.0,10.0,62037.0,6.0,Footwear,3.73,False,05-02-2023
64.0,Male,Accessories,Summer,West Virginia,Hat,19.0,8529.0,Yes,7.0,9.0,Cash,23.0,83.0,4.0,65588.0,2.0,Footwear,2.95,True,30-04-2023
19.0,Male,Clothing,Winter,Virginia,Shorts,12.0,5728.0,Yes,9.0,7.0,Debit Card,25.0,5.0,5.0,80835.0,4.0,Outerwear,1.54,True,16-02-2022
40.0,Male,Accessories,Spring,Washington,Backpack,18.0,4710.0,No,6.0,5.0,Credit Card,3.0,78.0,8.0,80870.0,9.0,Footwear,3.85,False,18-04-2023
57.0,Male,Clothing,Fall,Louisiana,Sweater,6.0,4812.0,Yes,23.0,1.0,Cash,6.0,84.0,10.0,111945.0,4.0,Clothing,4.0,True,01-03-2023
44.0,Male,Clothing,Spring,Nevada,Sweater,16.0,9780.0,No,23.0,6.0,Debit Card,28.0,60.0,10.0,42253.0,10.0,Clothing,3.06,False,22-04-2023
49.0,Male,Clothing,Winter,California,Shorts,18.0,169.0,No,11.0,1.0,Mobile Wallet,26.0,78.0,5.0,55346.0,1.0,Footwear,3.41,False,01-01-2022
43.0,Male,Clothing,Spring,Mississippi,Shorts,20.0,4150.0,No,18.0,6.0,Mobile Wallet,13.0,27.0,7.0,79133.0,8.0,Accessories,1.03,True,20-06-2022
24.0,Male,Clothing,Winter,Mississippi,Sweater,4.0,679.0,Yes,16.0,9.0,Cash,8.0,39.0,10.0,50828.0,3.0,Accessories,2.33,False,22-12-2022
20.0,Male,Accessories,Spring,California,Scarf,18.0,7581.0,No,1.0,5.0,Debit Card,22.0,55.0,8.0,109850.0,3.0,Outerwear,3.03,True,26-02-2022
24.0,Male,Clothing,Summer,Pennsylvania,Dress,16.0,3757.0,No,1.0,1.0,Credit Card,19.0,8.0,2.0,105591.0,1.0,Footwear,2.69,True,04-02-2023
44.0,Male,Accessories,Fall,Kentucky,Scarf,14.0,8275.0,Yes,19.0,5.0,Cash,17.0,38.0,2.0,114898.0,7.0,Outerwear,3.11,False,16-06-2023
28.0,Male,Clothing,Summer,Maine,Skirt,10.0,9299.0,Yes,6.0,9.0,Debit Card,30.0,85.0,1.0,118770.0,5.0,Clothing,4.28,False,12-10-2022
30.0,Male,Accessories,Fall,New Mexico,Backpack,8.0,7804.0,No,17.0,1.0,Mobile Wallet,8.0,65.0,6.0,68315.0,4.0,Accessories,3.61,True,03-09-2022
52.0,Male,Clothing,Winter,Montana,Sweater,7.0,9124.0,No,13.0,8.0,Cash,20.0,5.0,8.0,108934.0,7.0,Accessories,1.37,False,07-10-2023
43.0,Male,Accessories,Fall,Texas,Hat,8.0,7132.0,Yes,9.0,7.0,Mobile Wallet,15.0,63.0,6.0,96885.0,7.0,Outerwear,2.83,True,18-03-2022
43.0,Male,Footwear,Fall,Kansas,Sandals,16.0,8002.0,No,16.0,3.0,Mobile Wallet,1.0,7.0,5.0,42191.0,4.0,Footwear,3.45,False,16-11-2023
39.0,Male,Clothing,Winter,South Carolina,Blouse,15.0,8333.0,No,18.0,4.0,Credit Card,3.0,81.0,9.0,36297.0,6.0,Outerwear,3.46,False,26-03-2022
68.0,Male,Footwear,Spring,Colorado,Sneakers,10.0,2197.0,Yes,9.0,1.0,Credit Card,28.0,61.0,1.0,115246.0,8.0,Outerwear,4.14,False,26-02-2022
68.0,Male,Clothing,Winter,Georgia,Skirt,11.0,1181.0,No,14.0,6.0,Mobile Wallet,26.0,97.0,10.0,35207.0,10.0,Accessories,2.02,True,02-12-2023
49.0,Male,Outerwear,Fall,Florida,Coat,5.0,5489.0,No,10.0,10.0,Debit Card,2.0,18.0,1.0,78337.0,5.0,Outerwear,4.11,False,29-05-2023
63.0,Male,Clothing,Fall,North Carolina,Shirt,19.0,7753.0,Yes,12.0,10.0,Credit Card,7.0,88.0,10.0,72488.0,9.0,Clothing,4.14,False,10-04-2023
56.0,Male,Accessories,Fall,Virginia,Gloves,3.0,7981.0,No,21.0,7.0,Credit Card,25.0,14.0,3.0,93402.0,4.0,Clothing,3.75,False,11-03-2022
37.0,Male,Outerwear,Fall,Nebraska,Jacket,14.0,1961.0,Yes,1.0,9.0,Debit Card,28.0,39.0,7.0,61471.0,8.0,Outerwear,3.23,False,23-06-2023
30.0,Male,Outerwear,Fall,Missouri,Coat,20.0,9534.0,No,5.0,6.0,Credit Card,22.0,89.0,10.0,83663.0,9.0,Footwear,3.92,True,16-03-2022
19.0,Male,Footwear,Fall,New Jersey,Shoes,7.0,5281.0,No,9.0,3.0,Mobile Wallet,14.0,27.0,1.0,105053.0,7.0,Footwear,1.84,True,08-04-2023
24.0,Male,Accessories,Fall,Missouri,Jewelry,16.0,7890.0,Yes,5.0,9.0,Cash,14.0,95.0,5.0,110707.0,6.0,Accessories,1.91,False,01-07-2023
52.0,Male,Clothing,Fall,Colorado,Skirt,6.0,1269.0,Yes,24.0,4.0,Cash,23.0,7.0,5.0,118726.0,10.0,Footwear,4.05,False,21-03-2022
63.0,Male,Footwear,Summer,Idaho,Shoes,3.0,4431.0,No,23.0,9.0,Cash,28.0,94.0,5.0,44773.0,1.0,Accessories,3.41,True,06-03-2022
