customer_id,age,gender,category,season,location,item_purchased,store_visits_per_month,total_spending,online_shopping,membership_duration,discount_usage,preferred_payment_method,days_since_last_purchase,loyalty_points,average_basket_size,annual_income,purchase_frequency,preferred_product_category,satisfaction_score,cross_channel_shopping
16,64,Male,Clothing,Winter,Rhode Island,Skirt,11,9771,No,2,2,Mobile Wallet,10,18,4,86618,5,Footwear,2.76,TRUE
17,25,Male,Accessories,Spring,Alabama,Sunglasses,9,4591,No,3,6,Cash,25,9,7,75473,4,Outerwear,3.81,FALSE
18,53,Male,Clothing,Winter,Mississippi,Dress,8,866,Yes,16,5,Mobile Wallet,12,27,2,42271,5,Clothing,4.2,TRUE
19,52,Male,Clothing,Summer,Montana,Sweater,11,2409,No,8,1,Mobile Wallet,21,30,8,33176,3,Accessories,2.18,FALSE
20,66,Male,Clothing,Summer,Rhode Island,Pants,20,9456,Yes,4,2,Credit Card,26,51,2,112118,6,Footwear,3.27,FALSE
21,21,Male,Clothing,Winter,Louisiana,Pants,10,1112,Yes,22,3,Mobile Wallet,5,28,6,32232,1,Accessories,3.19,FALSE
22,31,Male,Clothing,Winter,North Carolina,Pants,5,2690,No,21,5,Mobile Wallet,2,83,2,72933,9,Accessories,4.11,FALSE
23,56,Male,Clothing,Summer,California,Pants,14,7369,Yes,19,1,Mobile Wallet,16,42,4,115277,7,Clothing,1.28,FALSE
24,31,Male,Clothing,Winter,Oklahoma,Pants,2,9704,Yes,9,1,Cash,29,26,6,67385,7,Accessories,4.9,TRUE
25,18,Male,Outerwear,Fall,Florida,Jacket,9,4204,No,5,6,Cash,21,96,10,37703,2,Accessories,4.89,TRUE
26,18,Male,Clothing,Summer,Texas,Hoodie,4,6904,No,11,8,Cash,21,93,8,94493,9,Outerwear,3.42,TRUE
27,38,Male,Accessories,Spring,Nevada,Jewelry,1,6326,Yes,23,3,Cash,2,34,4,47768,8,Outerwear,1.45,FALSE
28,56,Male,Clothing,Summer,Kentucky,Shorts,13,5396,Yes,18,5,Cash,18,97,6,118752,8,Outerwear,1.01,TRUE
29,54,Male,Accessories,Fall,North Carolina,Handbag,7,455,Yes,13,6,Mobile Wallet,9,94,3,95609,9,Clothing,1.65,FALSE
30,31,Male,Clothing,Fall,Wyoming,Dress,18,2686,No,23,10,Cash,24,99,10,110695,5,Outerwear,3.38,TRUE
31,57,Male,Accessories,Winter,North Carolina,Jewelry,13,1099,No,2,2,Cash,17,43,9,61912,2,Footwear,2.97,TRUE
32,33,Male,Clothing,Winter,West Virginia,Dress,20,5592,No,19,8,Mobile Wallet,26,51,6,101669,9,Footwear,4.69,TRUE
33,36,Male,Outerwear,Summer,Kansas,Jacket,7,8374,Yes,21,4,Mobile Wallet,13,57,9,109074,1,Clothing,4.26,FALSE
34,54,Male,Clothing,Summer,Colorado,Pants,9,2451,Yes,7,10,Debit Card,22,9,4,110311,4,Clothing,1.4,TRUE
35,36,Male,Clothing,Spring,North Dakota,T-shirt,8,1001,No,23,10,Mobile Wallet,6,93,2,78617,6,Accessories,2.71,FALSE
36,54,Male,Clothing,Summer,Massachusetts,Blouse,1,1372,Yes,17,9,Mobile Wallet,22,84,4,83602,9,Clothing,1.67,FALSE
37,35,Male,Clothing,Winter,Illinois,T-shirt,11,266,Yes,6,8,Debit Card,1,21,4,45967,7,Accessories,3.06,FALSE
38,35,Male,Clothing,Summer,Indiana,Jeans,3,122,Yes,18,5,Cash,12,100,1,55139,4,Accessories,1.02,TRUE
39,29,Male,Clothing,Winter,Florida,Dress,13,1382,Yes,20,2,Credit Card,15,70,7,83629,5,Footwear,3.33,FALSE
40,70,Male,Clothing,Summer,Arizona,Pants,6,3257,Yes,10,10,Debit Card,23,74,5,64973,7,Accessories,4.58,TRUE
41,69,Male,Accessories,Winter,Louisiana,Handbag,17,7852,Yes,16,3,Credit Card,2,87,4,52747,7,Clothing,3.84,FALSE
42,67,Male,Accessories,Spring,Alaska,Scarf,16,9550,Yes,2,3,Credit Card,23,17,4,39499,9,Outerwear,1.74,FALSE
43,20,Male,Outerwear,Spring,Tennessee,Coat,20,3065,No,16,10,Mobile Wallet,23,21,2,35038,2,Clothing,4.07,FALSE
44,25,Male,Accessories,Fall,Ohio,Scarf,14,7265,Yes,2,6,Credit Card,5,84,7,109630,1,Footwear,3.57,FALSE
45,39,Male,Accessories,Summer,Kentucky,Hat,9,914,No,20,5,Credit Card,16,77,2,30406,4,Clothing,2.87,TRUE
46,50,Male,Clothing,Fall,Tennessee,Socks,4,1926,No,24,7,Mobile Wallet,21,45,2,113765,7,Accessories,2.9,FALSE
47,57,Male,Clothing,Summer,California,Shirt,9,5205,Yes,5,8,Cash,15,77,3,54507,8,Footwear,3.18,FALSE
48,55,Male,Accessories,Winter,Montana,Jewelry,15,1397,Yes,18,10,Debit Card,13,98,2,107760,4,Footwear,2.59,TRUE
49,42,Male,Clothing,Summer,Nevada,Shirt,12,1927,No,2,1,Debit Card,13,40,7,63180,2,Accessories,2.57,FALSE
50,68,Male,Clothing,Spring,New Jersey,Hoodie,18,7958,Yes,17,7,Credit Card,12,42,1,78758,8,Clothing,2.77,FALSE
51,49,Male,Clothing,Spring,Maryland,Blouse,1,3207,Yes,24,5,Debit Card,10,87,9,34996,10,Footwear,4.1,FALSE
52,59,Male,Clothing,Winter,Vermont,Skirt,13,3797,Yes,13,6,Credit Card,30,89,2,57580,3,Clothing,1.72,FALSE
53,42,Male,Clothing,Summer,Alaska,T-shirt,19,4299,No,13,2,Cash,17,68,4,71694,9,Footwear,3.41,FALSE
54,29,Male,Clothing,Winter,Mississippi,Skirt,9,2610,No,10,4,Mobile Wallet,4,15,7,79990,8,Clothing,3.13,TRUE
55,47,Male,Outerwear,Summer,New Mexico,Coat,6,6495,No,18,6,Credit Card,23,33,1,110400,7,Clothing,3.11,TRUE
56,40,Male,Outerwear,Winter,South Carolina,Jacket,19,3282,No,3,4,Debit Card,1,88,10,83142,8,Accessories,3.51,FALSE
57,41,Male,Accessories,Summer,Mississippi,Backpack,10,4312,No,18,6,Mobile Wallet,25,2,3,86666,8,Outerwear,3.54,TRUE
58,21,Male,Outerwear,Summer,West Virginia,Coat,5,5193,Yes,11,4,Credit Card,11,66,3,61050,8,Accessories,1.58,FALSE
59,69,Male,Clothing,Summer,Missouri,Hoodie,6,6671,Yes,7,5,Credit Card,30,65,4,58772,6,Footwear,3.51,FALSE
60,63,Male,Accessories,Spring,Louisiana,Belt,17,8417,Yes,5,7,Mobile Wallet,18,82,2,56109,7,Clothing,4.77,TRUE
61,50,Male,Clothing,Summer,Idaho,Sweater,12,5584,Yes,19,9,Credit Card,8,29,9,77199,3,Outerwear,3.7,TRUE
62,55,Male,Accessories,Winter,Texas,Scarf,8,8915,No,13,6,Debit Card,3,78,4,76572,3,Clothing,4.59,FALSE
63,30,Male,Footwear,Spring,Mississippi,Sneakers,7,4012,No,13,8,Cash,26,47,6,34522,9,Accessories,1.49,TRUE
64,33,Male,Accessories,Winter,Arizona,Sunglasses,1,7005,No,16,5,Mobile Wallet,26,43,3,34247,8,Accessories,4.12,TRUE
65,65,Male,Footwear,Fall,Alabama,Boots,11,3707,Yes,22,2,Credit Card,18,41,8,73281,7,Accessories,2.92,TRUE
66,65,Male,Accessories,Spring,New Jersey,Backpack,3,6646,Yes,4,9,Mobile Wallet,18,20,4,115001,6,Outerwear,1.22,TRUE
67,31,Male,Clothing,Winter,Pennsylvania,Blouse,17,4161,Yes,23,9,Cash,7,96,2,82577,4,Clothing,4.78,TRUE
68,45,Male,Outerwear,Winter,Connecticut,Coat,12,1022,Yes,3,6,Cash,4,86,4,46178,7,Outerwear,2.91,FALSE
69,57,Male,Accessories,Summer,Utah,Handbag,16,6858,Yes,24,6,Cash,6,75,2,119019,5,Footwear,3.72,FALSE
70,48,Male,Accessories,Summer,Tennessee,Belt,20,6436,No,21,10,Mobile Wallet,5,90,5,55871,5,Clothing,3.71,FALSE
71,22,Male,Accessories,Fall,Alabama,Belt,12,3648,Yes,12,3,Credit Card,3,34,2,75532,10,Clothing,3.66,FALSE
72,36,Male,Clothing,Summer,Virginia,Dress,7,6975,Yes,21,5,Mobile Wallet,15,16,5,113520,7,Accessories,1.45,FALSE
73,18,Male,Clothing,Winter,Georgia,Dress,1,1346,No,3,4,Debit Card,14,27,3,69783,1,Clothing,3.48,FALSE
74,48,Male,Clothing,Spring,Hawaii,Pants,9,9972,Yes,3,10,Credit Card,17,1,3,113453,10,Clothing,3.84,FALSE
75,49,Male,Accessories,Spring,Indiana,Gloves,7,7658,Yes,16,4,Credit Card,28,23,10,98283,8,Outerwear,1.87,TRUE
76,64,Male,Accessories,Summer,Utah,Scarf,17,8424,Yes,5,1,Mobile Wallet,30,70,5,79955,2,Clothing,4.85,TRUE
77,50,Male,Accessories,Summer,Delaware,Hat,1,8617,Yes,4,2,Credit Card,20,17,7,94532,3,Accessories,2.01,TRUE
78,22,Male,Clothing,Summer,Delaware,Dress,9,7857,Yes,13,10,Mobile Wallet,3,46,9,116145,10,Outerwear,2.87,FALSE
79,50,Male,Clothing,Spring,Nebraska,Skirt,11,2044,Yes,20,2,Debit Card,23,67,3,89834,5,Accessories,1.21,TRUE
80,38,Male,Outerwear,Winter,Iowa,Jacket,13,7239,No,9,2,Debit Card,30,61,2,93961,9,Outerwear,1.47,TRUE
81,19,Male,Footwear,Summer,New York,Sandals,19,9120,Yes,7,7,Credit Card,20,70,4,61744,8,Footwear,4.13,FALSE
82,67,Male,Footwear,Summer,Virginia,Shoes,5,146,No,21,10,Credit Card,14,21,8,112890,8,Footwear,3.33,FALSE
83,19,Male,Clothing,Spring,Georgia,Pants,3,3188,No,3,3,Credit Card,24,88,9,97121,9,Footwear,4.42,FALSE
84,36,Male,Clothing,Summer,Texas,Dress,4,5395,No,4,8,Mobile Wallet,7,9,10,96689,6,Accessories,1.52,TRUE
85,52,Male,Outerwear,Spring,Arizona,Coat,5,8575,Yes,3,8,Debit Card,1,25,8,88151,6,Accessories,4.15,TRUE
86,53,Male,Accessories,Winter,New Mexico,Sunglasses,11,7129,Yes,2,8,Credit Card,22,38,3,103989,5,Clothing,3.03,TRUE
87,24,Male,Clothing,Spring,Nevada,Hoodie,4,8739,No,2,4,Cash,11,46,2,58862,7,Footwear,4.4,TRUE
88,52,Male,Footwear,Fall,Ohio,Shoes,2,7893,Yes,20,3,Credit Card,2,36,7,107273,1,Clothing,4.05,TRUE
89,33,Male,Clothing,Fall,Wyoming,T-shirt,17,1583,Yes,14,2,Debit Card,3,43,8,56605,5,Clothing,4.51,FALSE
90,47,Male,Outerwear,Fall,California,Jacket,13,2604,No,22,10,Mobile Wallet,4,22,8,32448,2,Footwear,3.76,FALSE
91,25,Male,Accessories,Summer,South Carolina,Hat,3,9706,Yes,14,2,Credit Card,15,22,9,64592,3,Outerwear,3.23,TRUE
92,44,Male,Accessories,Winter,South Carolina,Scarf,13,6879,Yes,14,4,Mobile Wallet,29,89,6,105503,1,Clothing,3.54,TRUE
93,61,Male,Outerwear,Winter,Texas,Jacket,1,7159,Yes,20,4,Credit Card,8,59,8,108497,5,Footwear,2.14,FALSE
94,37,Male,Clothing,Fall,Florida,Sweater,6,7495,No,17,5,Debit Card,6,66,2,49415,1,Footwear,4.09,FALSE
95,58,Male,Clothing,Spring,Nevada,Skirt,4,7361,No,7,9,Credit Card,11,8,9,93726,1,Accessories,4.03,TRUE
96,37,Male,Footwear,Fall,Missouri,Sneakers,14,9083,Yes,13,2,Debit Card,28,51,1,41807,8,Outerwear,1.76,TRUE
97,32,Male,Accessories,Spring,Delaware,Gloves,19,1165,Yes,3,4,Mobile Wallet,10,75,3,110667,6,Outerwear,3.32,TRUE
98,21,Male,Footwear,Winter,Virginia,Shoes,15,1778,Yes,14,9,Mobile Wallet,21,14,5,103100,4,Clothing,1.25,FALSE
99,20,Male,Clothing,Spring,New York,Jeans,14,4638,Yes,5,5,Credit Card,15,80,8,45994,1,Clothing,2.13,FALSE
100,26,Male,Clothing,Summer,Missouri,Hoodie,12,4438,No,6,8,Mobile Wallet,10,2,2,92315,9,Footwear,4.61,TRUE
101,62,Male,Accessories,Fall,South Dakota,Sunglasses,16,1690,No,20,10,Debit Card,20,18,8,54938,1,Clothing,4.88,FALSE
102,27,Male,Outerwear,Spring,North Dakota,Coat,4,703,Yes,19,10,Debit Card,9,77,8,67093,9,Accessories,3.72,TRUE
103,51,Male,Clothing,Winter,Oklahoma,Socks,11,9159,Yes,15,8,Credit Card,26,87,4,52080,7,Accessories,2.82,FALSE
104,54,Male,Footwear,Winter,West Virginia,Boots,7,4703,No,8,6,Credit Card,16,10,8,91235,2,Accessories,4.65,TRUE
105,55,Male,Accessories,Spring,New Hampshire,Sunglasses,11,8869,Yes,8,9,Debit Card,9,43,2,101293,1,Accessories,4.08,TRUE
106,69,Male,Accessories,Fall,New York,Backpack,18,9934,Yes,13,4,Cash,28,28,9,96932,5,Clothing,3.94,FALSE
107,64,Male,Outerwear,Summer,Minnesota,Jacket,8,9850,Yes,18,4,Cash,24,7,7,61461,8,Accessories,3.85,FALSE
108,28,Male,Footwear,Winter,Maryland,Sneakers,19,3735,No,13,8,Debit Card,29,66,6,76453,1,Footwear,3.93,TRUE
109,70,Male,Clothing,Spring,Montana,Socks,6,2799,Yes,8,8,Cash,29,9,1,40781,8,Footwear,4.47,TRUE
110,58,Male,Clothing,Spring,Alabama,T-shirt,7,1125,Yes,4,8,Debit Card,10,55,5,106107,3,Outerwear,1.21,TRUE
111,56,Male,Accessories,Summer,New York,Backpack,18,6314,No,16,7,Cash,28,39,6,114338,6,Footwear,2.5,TRUE
112,26,Male,Accessories,Summer,Massachusetts,Belt,10,1736,Yes,15,10,Credit Card,18,23,9,60878,5,Accessories,2.8,TRUE
113,37,Male,Accessories,Spring,Florida,Gloves,2,7101,Yes,17,9,Mobile Wallet,26,53,8,61474,8,Accessories,1.04,FALSE
114,44,Male,Accessories,Winter,New Jersey,Hat,1,1846,Yes,15,7,Cash,3,62,10,106223,1,Clothing,1.22,TRUE
115,70,Male,Outerwear,Summer,Massachusetts,Coat,16,8431,No,12,1,Cash,19,39,3,108766,5,Clothing,3.65,TRUE
116,53,Male,Clothing,Spring,Wyoming,Skirt,17,3781,Yes,10,6,Mobile Wallet,26,8,9,78364,5,Footwear,1.21,TRUE
117,55,Male,Footwear,Spring,Virginia,Shoes,6,249,No,3,9,Mobile Wallet,24,19,6,50031,7,Outerwear,1.61,FALSE
118,50,Male,Footwear,Summer,South Dakota,Sandals,6,9618,No,21,4,Debit Card,16,18,6,111005,8,Accessories,3.42,TRUE
119,50,Male,Clothing,Fall,Kentucky,Sweater,11,3583,Yes,4,1,Debit Card,13,70,6,92259,3,Outerwear,1.68,FALSE
120,38,Male,Outerwear,Fall,Wyoming,Coat,10,2263,No,3,10,Mobile Wallet,1,7,10,62037,6,Footwear,3.73,FALSE
121,64,Male,Accessories,Summer,West Virginia,Hat,19,8529,Yes,7,9,Cash,23,83,4,65588,2,Footwear,2.95,TRUE
122,19,Male,Clothing,Winter,Virginia,Shorts,12,5728,Yes,9,7,Debit Card,25,5,5,80835,4,Outerwear,1.54,TRUE
123,40,Male,Accessories,Spring,Washington,Backpack,18,4710,No,6,5,Credit Card,3,78,8,80870,9,Footwear,3.85,FALSE
124,57,Male,Clothing,Fall,Louisiana,Sweater,6,4812,Yes,23,1,Cash,6,84,10,111945,4,Clothing,4,TRUE
125,44,Male,Clothing,Spring,Nevada,Sweater,16,9780,No,23,6,Debit Card,28,60,10,42253,10,Clothing,3.06,FALSE
126,49,Male,Clothing,Winter,California,Shorts,18,169,No,11,1,Mobile Wallet,26,78,5,55346,1,Footwear,3.41,FALSE
127,43,Male,Clothing,Spring,Mississippi,Shorts,20,4150,No,18,6,Mobile Wallet,13,27,7,79133,8,Accessories,1.03,TRUE
128,24,Male,Clothing,Winter,Mississippi,Sweater,4,679,Yes,16,9,Cash,8,39,10,50828,3,Accessories,2.33,FALSE
129,20,Male,Accessories,Spring,California,Scarf,18,7581,No,1,5,Debit Card,22,55,8,109850,3,Outerwear,3.03,TRUE
130,24,Male,Clothing,Summer,Pennsylvania,Dress,16,3757,No,1,1,Credit Card,19,8,9,105591,1,Footwear,2.69,TRUE
131,44,Male,Accessories,Fall,Kentucky,Scarf,14,8275,Yes,19,5,Cash,17,38,2,114898,7,Outerwear,3.11,FALSE
132,28,Male,Clothing,Summer,Maine,Skirt,10,9299,Yes,6,9,Debit Card,30,85,1,118770,5,Clothing,4.28,FALSE
133,30,Male,Accessories,Fall,New Mexico,Backpack,8,7804,No,17,1,Mobile Wallet,8,65,6,68315,4,Accessories,3.61,TRUE
134,52,Male,Clothing,Winter,Montana,Sweater,7,9124,No,13,8,Cash,20,5,8,108934,7,Accessories,1.37,FALSE
135,43,Male,Accessories,Fall,Texas,Hat,8,7132,Yes,9,7,Mobile Wallet,15,63,6,96885,7,Outerwear,2.83,TRUE
136,43,Male,Footwear,Fall,Kansas,Sandals,16,8002,No,16,3,Mobile Wallet,1,7,5,42191,4,Footwear,3.45,FALSE
137,39,Male,Clothing,Winter,South Carolina,Blouse,15,8333,No,18,4,Credit Card,3,81,9,36297,6,Outerwear,3.46,FALSE
138,68,Male,Footwear,Spring,Colorado,Sneakers,10,2197,Yes,9,1,Credit Card,28,61,1,115246,8,Outerwear,4.14,FALSE
139,68,Male,Clothing,Winter,Georgia,Skirt,11,1181,No,14,6,Mobile Wallet,26,97,10,35207,10,Accessories,2.02,TRUE
140,49,Male,Outerwear,Fall,Florida,Coat,5,5489,No,10,10,Debit Card,2,18,1,78337,5,Outerwear,4.11,FALSE
141,63,Male,Clothing,Fall,North Carolina,Shirt,19,7753,Yes,12,10,Credit Card,7,88,10,72488,9,Clothing,4.14,FALSE
142,56,Male,Accessories,Fall,Virginia,Gloves,3,7981,No,21,7,Credit Card,25,14,3,93402,4,Clothing,3.75,FALSE
143,37,Male,Outerwear,Fall,Nebraska,Jacket,14,1961,Yes,1,9,Debit Card,28,39,7,61471,8,Outerwear,3.23,FALSE
144,30,Male,Outerwear,Fall,Missouri,Coat,20,9534,No,5,6,Credit Card,22,89,10,83663,9,Footwear,3.92,TRUE
145,19,Male,Footwear,Fall,New Jersey,Shoes,7,5281,No,9,3,Mobile Wallet,14,27,1,105053,7,Footwear,1.84,TRUE
146,24,Male,Accessories,Fall,Missouri,Jewelry,16,7890,Yes,5,9,Cash,14,95,5,110707,6,Accessories,1.91,FALSE
147,52,Male,Clothing,Fall,Colorado,Skirt,6,1269,Yes,24,4,Cash,23,7,5,118726,10,Footwear,4.05,FALSE
148,63,Male,Footwear,Summer,Idaho,Shoes,3,4431,No,23,9,Cash,28,94,5,44773,1,Accessories,3.41,TRUE
149,37,Male,Accessories,Fall,Wyoming,Gloves,9,1004,Yes,21,1,Mobile Wallet,26,98,1,78828,9,Footwear,4.49,TRUE
150,38,Male,Clothing,Summer,Delaware,Pants,16,5812,Yes,6,1,Cash,3,21,6,112062,1,Accessories,4.52,FALSE
151,35,Male,Footwear,Fall,California,Boots,9,4982,Yes,12,2,Cash,18,90,3,111875,7,Accessories,4.27,FALSE
152,28,Male,Accessories,Fall,North Dakota,Sunglasses,1,9800,Yes,6,10,Mobile Wallet,8,45,7,70274,7,Footwear,1.34,TRUE
153,30,Male,Clothing,Summer,South Carolina,Shirt,15,5729,No,4,5,Mobile Wallet,18,64,1,59912,5,Accessories,2.66,FALSE
154,69,Male,Clothing,Winter,North Carolina,Hoodie,17,1618,Yes,2,9,Credit Card,22,44,8,55354,8,Footwear,1.88,TRUE
155,41,Male,Clothing,Fall,Oklahoma,Dress,9,6170,No,20,1,Debit Card,12,81,7,63120,6,Clothing,2.98,FALSE
156,63,Male,Clothing,Spring,Maine,Socks,17,6488,No,18,6,Cash,13,60,5,86832,9,Clothing,3.76,FALSE
157,35,Male,Clothing,Fall,Missouri,Shorts,10,1934,Yes,13,5,Mobile Wallet,4,38,8,42040,6,Clothing,1.15,TRUE
158,36,Male,Accessories,Fall,Vermont,Hat,17,2804,No,19,10,Cash,29,97,9,69986,1,Footwear,2.15,TRUE
159,25,Male,Clothing,Fall,Connecticut,Shirt,16,5974,No,11,9,Debit Card,13,66,5,107898,4,Clothing,2.09,TRUE
160,58,Male,Accessories,Fall,New Hampshire,Gloves,4,1650,Yes,24,9,Debit Card,11,18,2,37084,7,Footwear,3.37,TRUE
161,27,Male,Accessories,Summer,Texas,Gloves,10,1236,Yes,14,1,Mobile Wallet,21,20,4,92008,6,Outerwear,4.85,FALSE
162,65,Male,Accessories,Fall,North Dakota,Backpack,3,4765,Yes,10,1,Debit Card,7,26,5,68645,2,Accessories,2.64,TRUE
163,54,Male,Accessories,Summer,California,Sunglasses,3,4594,Yes,7,8,Mobile Wallet,30,64,7,75374,9,Clothing,4.92,FALSE
164,54,Male,Clothing,Summer,Virginia,Skirt,8,6196,Yes,2,2,Credit Card,7,70,4,62002,4,Clothing,2.13,FALSE
165,59,Male,Accessories,Spring,Delaware,Handbag,20,7225,No,7,3,Debit Card,14,62,6,73433,8,Clothing,2.42,TRUE
166,42,Male,Accessories,Winter,Kentucky,Handbag,14,482,Yes,7,5,Cash,10,61,5,61123,9,Footwear,3.75,FALSE
167,46,Male,Footwear,Fall,Delaware,Sneakers,16,3990,No,18,3,Cash,14,89,7,57536,6,Outerwear,3.48,FALSE
168,33,Male,Accessories,Fall,Arkansas,Gloves,5,9675,Yes,9,7,Cash,1,50,4,32894,7,Footwear,3.49,TRUE
169,34,Male,Footwear,Summer,Louisiana,Shoes,18,218,Yes,3,3,Cash,12,68,7,56383,6,Clothing,2.8,FALSE
170,27,Male,Outerwear,Summer,Nevada,Jacket,2,6405,No,5,5,Mobile Wallet,1,91,9,67774,1,Outerwear,2.94,TRUE
171,52,Male,Clothing,Fall,Wyoming,Shirt,2,9613,Yes,3,9,Cash,24,58,3,101067,5,Accessories,3.33,FALSE
172,29,Male,Clothing,Summer,Virginia,Shorts,20,8362,No,21,8,Debit Card,28,38,3,108900,3,Accessories,3.34,FALSE
173,54,Male,Accessories,Summer,Nebraska,Jewelry,10,3431,No,10,4,Cash,1,62,3,97549,10,Outerwear,1.98,TRUE
174,25,Male,Accessories,Fall,Hawaii,Hat,16,8238,Yes,2,8,Credit Card,16,41,9,72994,3,Accessories,1.8,TRUE
175,41,Male,Footwear,Winter,Vermont,Shoes,4,2297,Yes,3,9,Cash,8,44,8,78733,4,Footwear,2.08,FALSE
176,53,Male,Outerwear,Fall,Oklahoma,Coat,11,4162,Yes,5,6,Mobile Wallet,13,71,3,98128,9,Footwear,1.45,TRUE
177,53,Male,Accessories,Spring,New Hampshire,Backpack,11,537,Yes,5,6,Debit Card,29,0,1,70535,4,Clothing,2.72,TRUE
178,21,Male,Clothing,Fall,Kansas,Hoodie,8,7834,No,2,7,Mobile Wallet,21,11,1,62873,8,Outerwear,2.4,TRUE
179,61,Male,Clothing,Fall,Idaho,Skirt,7,8397,No,23,9,Cash,29,84,9,30177,3,Clothing,4.64,TRUE
180,64,Male,Footwear,Fall,Illinois,Boots,20,5626,Yes,1,10,Credit Card,17,57,3,118685,9,Clothing,1.26,FALSE
181,51,Male,Footwear,Fall,South Dakota,Sandals,8,2373,Yes,22,10,Credit Card,12,77,3,93384,2,Clothing,4.52,TRUE
182,32,Male,Clothing,Summer,Massachusetts,Pants,19,3105,No,8,8,Credit Card,6,40,8,69734,1,Footwear,4.97,TRUE
183,38,Male,Accessories,Summer,Alabama,Gloves,13,6032,Yes,24,5,Cash,6,47,1,105756,7,Clothing,1.25,FALSE
184,58,Male,Clothing,Spring,Ohio,Skirt,5,1627,Yes,5,9,Debit Card,9,2,1,50868,6,Accessories,1.01,TRUE
185,32,Male,Footwear,Spring,Hawaii,Sneakers,3,5797,No,3,8,Debit Card,21,98,6,45133,8,Accessories,4.38,TRUE
186,46,Male,Clothing,Summer,Wisconsin,T-shirt,18,6672,No,18,7,Debit Card,19,89,10,47882,9,Outerwear,2.24,TRUE
187,39,Male,Accessories,Summer,Minnesota,Backpack,20,7507,Yes,2,5,Debit Card,30,2,1,77591,2,Accessories,2.2,TRUE
188,19,Male,Footwear,Spring,Georgia,Shoes,13,6078,Yes,8,4,Credit Card,16,93,3,65569,2,Footwear,3.24,FALSE
189,50,Male,Clothing,Spring,Arkansas,Hoodie,18,8829,No,12,7,Mobile Wallet,7,86,8,110039,8,Outerwear,4.08,FALSE
190,36,Male,Clothing,Fall,West Virginia,Blouse,13,981,No,23,8,Debit Card,29,78,5,36830,8,Accessories,1.62,TRUE
191,65,Male,Outerwear,Fall,Indiana,Coat,9,686,No,5,10,Credit Card,2,44,3,118426,5,Outerwear,2.2,FALSE
192,64,Male,Accessories,Fall,Utah,Hat,11,8741,No,5,6,Credit Card,6,15,3,100499,6,Footwear,4.39,TRUE
193,46,Male,Footwear,Summer,Nebraska,Shoes,1,3506,No,22,1,Debit Card,20,34,1,49479,7,Footwear,1.01,TRUE
194,36,Male,Accessories,Fall,North Dakota,Belt,7,6847,Yes,20,2,Debit Card,28,66,6,84830,4,Outerwear,1.61,TRUE
195,51,Male,Accessories,Spring,Missouri,Backpack,20,5482,Yes,9,5,Mobile Wallet,13,58,10,64560,4,Clothing,3.08,FALSE
196,51,Male,Outerwear,Fall,New York,Jacket,8,4181,No,13,6,Credit Card,15,79,3,102359,7,Accessories,2.78,TRUE
